invoice,date,storenumber,storename,address,city,zipcode,storelocation,countynumber,county,category,categoryname,vendornumber,vendorname,itemnumber,itemdescription,pack,bottlevolume,statebottlecost,statebottleretail,bottlessold,sale,volumesoldl,volumesoldg
INV-42102000021,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1042100,Imported Dry Gins,260,DIAGEO AMERICAS,28858,Tanqueray Sevilla Orange,12,750,$13.50 ,$20.25 ,3,60.75,2.25,0.59
INV-42101500041,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011200,Straight Bourbon Whiskies,370,PERNOD RICARD USA,19009,Jeffersons Very Small Batch,6,750,$18.49 ,$27.74 ,3,83.22,2.25,0.59
INV-42102300001,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1011400,Tennessee Whiskies,346,OLE SMOKY DISTILLERY LLC,86980,Ole Smoky Pecan Whiskey,6,750,$10.00 ,$15.00 ,12,180,9,2.37
INV-42102500004,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1081500,Triple Sec,434,LUXCO INC,86507,Paramount Triple Sec,12,1000,$3.84 ,$5.76 ,5,28.8,5,1.32
INV-42102000015,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1012100,Canadian Whiskies,259,Heaven Hill Brands,11777,Black Velvet,12,1000,$6.63 ,$9.95 ,12,119.4,12,3.17
INV-42102000023,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1022100,Mixto Tequila,421,SAZERAC COMPANY  INC,89577,Montezuma Gold,12,1000,$7.02 ,$10.53 ,24,252.72,24,6.34
INV-42101600006,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1701100,Temporary & Specialty Packages,384,PIEDMONT DISTILLERS INC,101139,Midnight Moon Peppermint w/ Shot Glass,6,750,$11.50 ,$17.25 ,6,103.5,4.5,1.18
INV-42102600013,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77741,Smirnoff Raspberry,12,1000,$9.25 ,$13.88 ,3,41.64,3,0.79
INV-42102600009,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1012100,Canadian Whiskies,322,Prestige Wine & Spirits Group / United States Distilled Products Co,15247,Windsor Canadian,12,1000,$6.29 ,$9.44 ,4,37.76,4,1.05
INV-42101500027,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1081400,American Schnapps,65,Jim Beam Brands,82849,Dekuyper Luscious Peachtree PET,6,1750,$11.54 ,$17.31 ,6,103.86,10.5,2.77
INV-42101500004,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011600,Straight Rye Whiskies,255,Infinium Spirits,27102,Templeton Rye 4YR,6,750,$18.09 ,$27.14 ,6,162.84,4.5,1.18
INV-42101500034,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1071100,Cocktails /RTD,421,SAZERAC COMPANY  INC,57168,Chi-Chi's Chocolate Malt,6,1750,$5.75 ,$8.63 ,6,58.5,10.5,2.77
INV-42102500012,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1031100,American Vodkas,380,Phillips Beverage,37338,UV Vodka PET,6,1750,$11.50 ,$17.25 ,6,103.5,10.5,2.77
INV-42101500005,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1091100,American Distilled Spirit Specialty,578,S&B Farms Distillery,77055,Sir Winston Peach,6,750,$13.01 ,$19.52 ,18,351.36,13.5,3.56
INV-42101400001,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011600,Straight Rye Whiskies,214,GoAmericaGo Beverages LLC / WhistlePig,915177,HA WhistlePig Boss Hog VIII Lapulapus Pacific,3,750,$250.00 ,$375.00 ,1,375,0.75,0.19
INV-42101500035,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1071100,Cocktails /RTD,65,Jim Beam Brands,63321,On the Rocks Cocktails Hornitos Margarita,12,375,$6.50 ,$9.75 ,12,117,4.5,1.18
INV-42102100001,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1011100,Blended Whiskies,536,Old Elk Distilleries LLC,991592,HA Old Elk Infinity Blend,3,750,$70.00 ,$105.00 ,1,105,0.75,0.19
INV-42102600022,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1082000,Imported Cordials & Liqueurs,65,Jim Beam Brands,67006,Midori Melon Liqueur,12,750,$11.49 ,$17.24 ,1,17.24,0.75,0.19
INV-42101500010,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011200,Straight Bourbon Whiskies,259,Heaven Hill Brands,17958,Evan Williams Black,6,1750,$16.00 ,$24.00 ,6,144,10.5,2.77
INV-42101500012,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1012100,Canadian Whiskies,259,Heaven Hill Brands,86455,Black Velvet Apple,12,750,$5.23 ,$7.85 ,12,94.2,9,2.37
INV-42102600021,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1062400,Spiced Rum,260,DIAGEO AMERICAS,43337,Captain Morgan Original Spiced,12,1000,$11.75 ,$17.63 ,12,211.56,12,3.17
INV-42102500006,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1011100,Blended Whiskies,65,Jim Beam Brands,27544,Red Stag Black Cherry,12,750,$11.00 ,$16.50 ,3,49.5,2.25,0.59
INV-42102300003,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1701100,Temporary & Specialty Packages,65,Jim Beam Brands,16906,Bookers Bourbon,6,750,$42.50 ,$63.75 ,1,63.75,0.75,0.19
INV-42102000009,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1062500,Flavored Rum,370,PERNOD RICARD USA,42717,Malibu Coconut,12,1000,$10.99 ,$16.49 ,12,197.88,12,3.17
INV-42101500001,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1031100,American Vodkas,65,Jim Beam Brands,34578,Pinnacle,6,1750,$10.00 ,$15.00 ,6,90,10.5,2.77
INV-42101500017,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1062500,Flavored Rum,35,BACARDI USA INC,43138,Bacardi Limon,6,1750,$15.00 ,$22.50 ,6,135,10.5,2.77
INV-42102000020,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1062400,Spiced Rum,259,Heaven Hill Brands,43028,Admiral Nelson Spiced,6,1750,$11.55 ,$17.33 ,60,1039.8,105,27.73
INV-42101500023,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1081300,American Cordials & Liqueur,434,LUXCO INC,76486,Paramount Amaretto,12,750,$3.50 ,$5.25 ,12,63,9,2.37
INV-42101600005,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1022200,100% Agave Tequila,580,Mara Imports,87906,Amor Reposado,6,750,$30.00 ,$45.00 ,3,135,2.25,0.59
INV-42102600005,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1012300,Single Malt Scotch,370,PERNOD RICARD USA,5037,Glenlivet 12YR,12,1000,$29.48 ,$44.22 ,4,176.88,4,1.05
INV-42102600019,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1031100,American Vodkas,301,FIFTH GENERATION INC,38178,Titos Handmade Vodka,6,1750,$19.00 ,$28.50 ,6,171,10.5,2.77
INV-42102000014,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11297,Crown Royal,12,1000,$19.39 ,$29.09 ,12,349.08,12,3.17
INV-42102500011,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1031100,American Vodkas,421,SAZERAC COMPANY  INC,35318,Barton Vodka,6,1750,$6.92 ,$10.38 ,6,62.28,10.5,2.77
INV-42102000006,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1701100,Temporary & Specialty Packages,65,Jim Beam Brands,52438,DeKuyper Grape Pucker PET,12,1000,$7.87 ,$11.81 ,24,283.44,24,6.34
INV-42102300012,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64865,Fireball Cinnamon Whiskey PET,12,750,$8.98 ,$13.47 ,12,161.64,9,2.37
INV-42102000005,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1701100,Temporary & Specialty Packages,125,CEDAR RIDGE VINEYARDS LL,25459,Slipknot Limited Edition Anniversary Iowa Label Whiskey,6,750,$25.00 ,$37.50 ,6,225,4.5,1.18
INV-42102000001,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1701100,Temporary & Specialty Packages,205,E & J Gallo Winery,101163,RumChata w/ 100ml Lemon & Peppermint Bark,6,950,$13.50 ,$20.25 ,6,121.5,5.7,1.5
INV-42101500042,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1012200,Scotch Whiskies,260,DIAGEO AMERICAS,6076,The Singleton 12YR,6,750,$20.00 ,$30.00 ,3,90,2.25,0.59
INV-42101500038,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1031100,American Vodkas,421,SAZERAC COMPANY  INC,37414,Popov 80prf,24,375,$3.00 ,$4.50 ,24,108,9,2.37
INV-42102600010,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1081300,American Cordials & Liqueur,434,LUXCO INC,79966,Arrow Creme de Almond,12,750,$4.74 ,$7.11 ,2,14.22,1.5,0.39
INV-42101600003,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1700000,Temporary &  Specialty Packages,421,SAZERAC COMPANY  INC,100771,Platinum 7x Vodka Candy Cane,1,50,$25.80 ,$38.70 ,1,38.7,0.05,0.01
INV-42102300009,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1031100,American Vodkas,260,DIAGEO AMERICAS,37996,Smirnoff 80prf,12,750,$8.25 ,$12.38 ,2,24.76,1.5,0.39
INV-42102600012,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1081300,American Cordials & Liqueur,434,LUXCO INC,79336,Paramount Creme de Menthe Green,12,750,$5.00 ,$7.50 ,2,15,1.5,0.39
