date,confirmed,deaths
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,1,0
2020-04-28,1,0
2020-04-29,1,0
2020-04-30,2,0
2020-05-01,2,0
2020-05-02,2,0
2020-05-03,2,0
2020-05-04,2,0
2020-05-05,2,0
2020-05-06,2,0
2020-05-07,2,0
2020-05-08,2,0
2020-05-09,2,0
2020-05-10,2,0
2020-05-11,2,0
2020-05-12,2,0
2020-05-13,2,0
2020-05-14,2,0
2020-05-15,2,0
2020-05-16,2,0
2020-05-17,3,0
2020-05-18,5,0
2020-05-19,4,0
2020-05-20,7,0
2020-05-21,7,0
2020-05-22,7,0
2020-05-23,7,0
2020-05-24,7,0
2020-05-25,7,0
2020-05-26,8,0
2020-05-27,9,0
2020-05-28,9,0
2020-05-29,9,0
2020-05-30,9,0
2020-05-31,10,0
2020-06-01,11,0
2020-06-02,12,0
2020-06-03,13,0
2020-06-04,15,0
2020-06-05,16,0
2020-06-06,16,0
2020-06-07,16,0
2020-06-08,16,0
2020-06-09,16,0
2020-06-10,16,0
2020-06-11,16,0
2020-06-12,16,0
2020-06-13,17,0
2020-06-14,17,0
2020-06-15,19,0
2020-06-16,20,0
2020-06-17,20,0
2020-06-18,23,0
2020-06-19,22,0
2020-06-20,22,0
2020-06-21,24,0
2020-06-22,25,0
2020-06-23,27,0
2020-06-24,31,0
2020-06-25,29,0
2020-06-26,32,0
2020-06-27,32,0
2020-06-28,32,0
2020-06-29,32,0
2020-06-30,32,0
2020-07-01,32,0
2020-07-02,33,0
2020-07-03,33,0
2020-07-04,34,0
2020-07-05,35,0
2020-07-06,35,0
2020-07-07,36,0
2020-07-08,37,0
2020-07-09,39,0
2020-07-10,42,0
2020-07-11,41,0
2020-07-12,42,0
2020-07-13,43,0
2020-07-14,43,0
2020-07-15,58,0
2020-07-16,60,0
2020-07-17,62,0
2020-07-18,62,0
2020-07-19,68,0
2020-07-20,71,0
2020-07-21,71,0
2020-07-22,73,0
2020-07-23,72,0
2020-07-24,72,0
2020-07-25,72,0
2020-07-26,72,0
2020-07-27,72,0
2020-07-28,72,0
2020-07-29,74,0
2020-07-30,76,0
2020-07-31,76,0
2020-08-01,77,0
2020-08-02,77,0
2020-08-03,78,0
2020-08-04,78,0
2020-08-05,82,0
2020-08-06,83,0
